river,lake
Bann,Lough Neagh
LÃ¥gen,Mjoesa-See
Ã–sterdalÃ¤lv,Siljan
UmeÃ¤lv,Storuman
Vuoksi,Saimaa
Rhein,Bodensee
Aare,Brienzersee
Aare,Thunersee
Aare,Bielersee
Reuss,VierwaldstÃ¤ttersee
Rhone,Lac Leman
Durance,Lac de Serre-PonÃ§on
Ticino,Lago Maggiore
Adda,Lago di Como
Tirso,Lago Omodeo
Ammer,Ammersee
WÃ¼rm,Starnberger See
Alz,Chiemsee
Jordan,Lake Genezareth
Euphrat,AtatÃ¼rk Baraj GÃ¶lÃ¼
Wyg,Wygozero
Dnepr,Kiev Reservoir
Dnepr,Kremenchuk Reservoir
Dnepr,Kakhovka Reservoir
Volga,Rybinsk Reservoir
Volga,Kuybyshev Reservoir
Kama,Kama Reservoir
Kama,Lower Kama Reservoir
Ob,Novosibirsk Reservoir
Irtysh,Bukhtarma Reservoir
Chantaika,Ozero Khantayskoye
Angara,Ozero Baikal
Pyasina,Ozero Keta
Taimyra,Ozero Taimyr
Bartang,Koli Sarez
Ili,Kapshagay Dam
Yalu,Supung Dam
Huai,Hongze Hu
Yangtze,Xiluodu
Yangtze,Three Gorges Reservoir
Yangtze,Dongting Hu
Gan Jiang,Poyang Hu
Mae Nam Ping,Lake Bhumibol
Mae Nam Nan,Lake Sirikit
Satluj,Manasarovar
Missouri,Fort Peck Lake
Missouri,Lake Sakakawea
Missouri,Lake Oahe
Tennessee River,Chickamauga Lake
Tennessee River,Kentucky Lake
Columbia River,Franklin. D. Roosevelt Lake
Clark Fork River,Lake Pend Oreille
Feather River,Lake Oroville
Colorado,Lake Powell
Colorado,Lake Mead
Rio Lerma Santiago,Lago de Chapala
Rio Grijalva,Presa Angostura
Rio Grijalva,Presa Malpaso
Rio Chepo,Lake Bayano
Rio Sao Francisco,Lago de Sobradinho
Bandama,Lake Kossou
Volta,Lake Volta
Niger,Lake Kainji
Nile,Lake Nasser
Victoria Nile,Lake Kyoga
Sanaga,Barrage de Mbakaou
Congo,Malebo Pool
Zambezi,Lake Kariba
Zambezi,Lake Cahora-Bassa
Murray River,Lake Hume
Molonglo River,Lake Burley Griffin
Eucumbene River,Lake Eucumbene
Snowy River,Lake Jindabyne
Waikato River,Lake Taupo
